model,checkpoint,simple_icl_singular_to_plural
LLM360/Amber,ckpt_130,3.9835345643939393
LLM360/Amber,ckpt_163,3.5102864583333333
LLM360/Amber,ckpt_195,3.7610795454545456
LLM360/Amber,ckpt_228,3.4804214015151516
LLM360/Amber,ckpt_261,3.5913707386363636
LLM360/Amber,ckpt_293,3.7428089488636362
LLM360/Amber,ckpt_326,3.6899029356060606
LLM360/Amber,ckpt_358,3.929557291666667
LLM360/Amber,main,3.7403053977272727
