model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_translate_eng_fr_lower,correct_translate_eng_fr_lower,total_translate_eng_fr_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_000/LLM360_Amber_ckpt_000_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.0,0,165,,,,,,,
LLM360/Amber,ckpt_032,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_032/LLM360_Amber_ckpt_032_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.6727272727272727,111,165,,,,,,,
LLM360/Amber,ckpt_065,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_065/LLM360_Amber_ckpt_065_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.8181818181818182,135,165,,,,,,,
LLM360/Amber,ckpt_097,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_097/LLM360_Amber_ckpt_097_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.8424242424242424,139,165,,,,,,,
LLM360/Amber,ckpt_130,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_130/LLM360_Amber_ckpt_130_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.8727272727272727,144,165,,,,,,,
LLM360/Amber,ckpt_163,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_163/LLM360_Amber_ckpt_163_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.8303030303030303,137,165,,,,,,,
LLM360/Amber,ckpt_195,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_195/LLM360_Amber_ckpt_195_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.8424242424242424,139,165,,,,,,,
LLM360/Amber,ckpt_228,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_228/LLM360_Amber_ckpt_228_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.8545454545454545,141,165,,,,,,,
LLM360/Amber,ckpt_261,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_261/LLM360_Amber_ckpt_261_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.8303030303030303,137,165,,,,,,,
LLM360/Amber,ckpt_293,compositional_translate_eng_fr_lower,True,,True,results/amber/Amber_ckpt_293/LLM360_Amber_ckpt_293_compositional_translate_eng_fr_lower_translate_eng_fr_lower_detailed.jsonl,165.0,0.9090909090909091,150,165,,,,,,,
LLM360/Amber,ckpt_326,compositional_translate_eng_fr_lower,True,,False,,,0.8727272727272727,144,165,0.8727272727272727,144.0,165.0,5.373035037878788,10788.275086319083,0.0005664047043768572,0.021431889150753208
LLM360/Amber,ckpt_358,compositional_translate_eng_fr_lower,True,,False,,,0.8424242424242424,139,165,0.8424242424242424,139.0,165.0,5.576692708333334,15588.331608348673,0.0003616320174784807,0.020107918820607334
LLM360/Amber,main,compositional_translate_eng_fr_lower,True,,False,,,0.8848484848484849,146,165,0.8848484848484849,146.0,165.0,5.430356297348485,11971.922994772653,0.0003789087425951581,0.020378569422129462
