model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_upper,correct_translate_sp_eng_upper,total_translate_sp_eng_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_sp_eng_upper,True,,False,0.0,0,178,0.0,0,178,9.19386411516854,255903.91003559026,8.944076724303342e-08,0.0003653288587878342
LLM360/Amber,ckpt_032,compositional_translate_sp_eng_upper,True,,False,0.4943820224719101,88,178,0.4943820224719101,88,178,4.413897910814606,7372.255127665151,0.000521353323792715,0.03200561864304319
LLM360/Amber,ckpt_065,compositional_translate_sp_eng_upper,True,,False,0.6966292134831461,124,178,0.6966292134831461,124,178,3.8195883075842696,434.09455440650686,0.0005459279748950926,0.04488632070655328
LLM360/Amber,ckpt_097,compositional_translate_sp_eng_upper,True,,False,0.7528089887640449,134,178,0.7528089887640449,134,178,3.614877765098315,316.46531595949705,0.0011217797860071683,0.056834157079043865
LLM360/Amber,ckpt_130,compositional_translate_sp_eng_upper,True,,False,0.7865168539325843,140,178,0.7865168539325843,140,178,3.619974543539326,196.7100453534393,0.0010094574547028098,0.05172990857482861
LLM360/Amber,ckpt_163,compositional_translate_sp_eng_upper,True,,False,0.7696629213483146,137,178,0.7696629213483146,137,178,3.556497981039326,236.6444332575866,0.0007774187887811453,0.05551374674528098
LLM360/Amber,ckpt_195,compositional_translate_sp_eng_upper,True,,False,0.8370786516853933,149,178,0.8370786516853933,149,178,3.4581449701544944,167.22105903706523,0.0010427570513711105,0.06185581303444891
LLM360/Amber,ckpt_228,compositional_translate_sp_eng_upper,True,,False,0.8033707865168539,143,178,0.8033707865168539,143,178,3.264944698033708,93.06421665044499,0.0015154503347819238,0.06814292210600387
LLM360/Amber,ckpt_261,compositional_translate_sp_eng_upper,True,,False,0.8146067415730337,145,178,0.8146067415730337,145,178,3.237400697858146,119.17479904929954,0.00152958033471296,0.0694604985512571
LLM360/Amber,ckpt_293,compositional_translate_sp_eng_upper,True,,False,0.8202247191011236,146,178,0.8202247191011236,146,178,3.3470801878511236,131.07316684387956,0.0012991519775826957,0.06499011248054129
LLM360/Amber,ckpt_326,compositional_translate_sp_eng_upper,True,,False,0.8370786516853933,149,178,0.8370786516853933,149,178,3.4356538579705056,181.46223661135704,0.0010651197974882456,0.06191532489337425
LLM360/Amber,ckpt_358,compositional_translate_sp_eng_upper,True,,False,0.8764044943820225,156,178,0.8764044943820225,156,178,3.5267676878511236,193.6953834138264,0.0007652425772617776,0.05819800738920769
LLM360/Amber,main,compositional_translate_sp_eng_upper,True,,False,0.8426966292134831,150,178,0.8426966292134831,150,178,3.4343344013342696,263.19753611686383,0.001132562094486165,0.06283050666866864
