model,checkpoint,simple_icl_translate_fr_eng
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.6971428571428572
LLM360/Amber,ckpt_065,0.7771428571428571
LLM360/Amber,ckpt_097,0.8
LLM360/Amber,ckpt_130,0.8457142857142858
LLM360/Amber,ckpt_163,0.8342857142857143
LLM360/Amber,ckpt_195,0.8342857142857143
LLM360/Amber,ckpt_228,0.84
LLM360/Amber,ckpt_261,0.8285714285714286
LLM360/Amber,ckpt_293,0.8228571428571428
LLM360/Amber,ckpt_326,0.8171428571428572
LLM360/Amber,ckpt_358,0.84
LLM360/Amber,main,0.8628571428571429
