model,checkpoint,compositional_plural_lower
LLM360/Amber,ckpt_000,9.734279141104295
LLM360/Amber,ckpt_032,4.244374281058282
LLM360/Amber,ckpt_065,4.016236100460123
LLM360/Amber,ckpt_097,4.100148581288344
LLM360/Amber,ckpt_130,4.115432083972393
LLM360/Amber,ckpt_163,3.986417992714724
LLM360/Amber,ckpt_195,4.192574530291411
LLM360/Amber,ckpt_228,3.8263396280674846
LLM360/Amber,ckpt_261,3.8669119056748467
LLM360/Amber,ckpt_293,4.105924079754601
LLM360/Amber,ckpt_326,4.104138707822086
LLM360/Amber,ckpt_358,4.21747387845092
LLM360/Amber,main,4.134747651457055
