model,checkpoint,textfrct_V1
LLM360/Amber,ckpt_000,6.761610243055555
LLM360/Amber,ckpt_032,7.186740451388889
LLM360/Amber,ckpt_065,4.701714409722222
LLM360/Amber,ckpt_097,5.753255208333333
LLM360/Amber,ckpt_130,6.72265625
LLM360/Amber,ckpt_163,5.825954861111111
LLM360/Amber,ckpt_195,5.478190104166667
LLM360/Amber,ckpt_228,5.439561631944445
LLM360/Amber,ckpt_261,5.466688368055555
LLM360/Amber,ckpt_293,5.810546875
LLM360/Amber,ckpt_326,5.813368055555555
LLM360/Amber,ckpt_358,5.392252604166667
LLM360/Amber,main,6.011610243055555
