model,checkpoint,ignoring_context
LLM360/Amber,ckpt_261,7.69921875
LLM360/Amber,ckpt_293,7.75390625
LLM360/Amber,ckpt_326,7.7578125
LLM360/Amber,ckpt_358,7.7578125
LLM360/Amber,main,7.55859375
