model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_reverse_last,correct_lower_reverse_last,total_lower_reverse_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_lower_reverse_last,True,,False,0.0,0,26,0.0,0,26,8.045072115384615,4499.121626898462,0.000452483639895287,0.000452483639895287
LLM360/Amber,ckpt_032,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.088341346153847,3983.125145979207,0.0003734123770333994,0.0003734123770333994
LLM360/Amber,ckpt_065,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.716796875,2904.3638110776064,0.0005703141837307451,0.0005703141837307451
LLM360/Amber,ckpt_097,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.695913461538462,2457.8565438250785,0.0005068648864014339,0.0005068648864014339
LLM360/Amber,ckpt_130,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.954627403846154,3331.1361432449094,0.00041206260430926695,0.00041206260430926695
LLM360/Amber,ckpt_163,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.5848858173076925,2391.5104453731506,0.000676816977545448,0.000676816977545448
LLM360/Amber,ckpt_195,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.883563701923077,3301.938153644614,0.00045301574938097836,0.00045301574938097836
LLM360/Amber,ckpt_228,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.658203125,2644.7000583621752,0.0006169457223330892,0.0006169457223330892
LLM360/Amber,ckpt_261,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.469951923076923,2068.983591994209,0.0006660439893815105,0.0006660439893815105
LLM360/Amber,ckpt_293,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.441256009615385,2262.75761262917,0.0007688728084435949,0.0007688728084435949
LLM360/Amber,ckpt_326,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.893028846153846,2941.1119783256677,0.0004063555676800803,0.0004063555676800803
LLM360/Amber,ckpt_358,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.660757211538462,3033.2315831645874,0.000648342132267353,0.000648342132267353
LLM360/Amber,main,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.071664663461538,1510.3516125525198,0.0010683751981249855,0.0010683751981249855
