model,checkpoint,compositional_translate_fr_eng_reverse
LLM360/Amber,ckpt_000,9.515031067251462
LLM360/Amber,ckpt_032,9.93640350877193
LLM360/Amber,ckpt_065,9.75890899122807
LLM360/Amber,ckpt_097,9.627695540935672
LLM360/Amber,ckpt_130,9.772523757309942
LLM360/Amber,ckpt_163,9.533214546783626
LLM360/Amber,ckpt_195,9.478572733918128
LLM360/Amber,ckpt_228,9.269828216374268
LLM360/Amber,ckpt_261,9.506738852339181
LLM360/Amber,ckpt_293,9.661595394736842
LLM360/Amber,ckpt_326,9.619129203216374
LLM360/Amber,ckpt_358,9.75374634502924
LLM360/Amber,main,9.606131213450292
