model,checkpoint,logical_ops_conjunction
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.8
LLM360/Amber,ckpt_065,0.8
LLM360/Amber,ckpt_097,0.75
LLM360/Amber,ckpt_130,0.95
LLM360/Amber,ckpt_163,0.8
LLM360/Amber,ckpt_195,1.0
LLM360/Amber,ckpt_228,0.95
LLM360/Amber,ckpt_261,0.85
LLM360/Amber,ckpt_293,0.9
LLM360/Amber,ckpt_326,0.9
LLM360/Amber,ckpt_358,0.9
LLM360/Amber,main,0.9
