model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_last,correct_lower_last,total_lower_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_lower_last,True,,False,0.038461538461538464,1,26,0.038461538461538464,1,26,8.027193509615385,3998.178060966684,0.0004243783916626799,0.0004243783916626799
LLM360/Amber,ckpt_032,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,8.201772836538462,4946.918984868002,0.00034870663393218697,0.00034870663393218697
LLM360/Amber,ckpt_065,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.786658653846154,2990.6456647119944,0.0005486594905630301,0.0005486594905630301
LLM360/Amber,ckpt_097,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.843599759615385,2922.8698283119456,0.0004496120248176393,0.0004496120248176393
LLM360/Amber,ckpt_130,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.839543269230769,3054.471288168466,0.00047548693053757794,0.00047548693053757794
LLM360/Amber,ckpt_163,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.575420673076923,2727.4329178751505,0.0006753278399983304,0.0006753278399983304
LLM360/Amber,ckpt_195,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.8408954326923075,3178.4835993240968,0.00048127082501615956,0.00048127082501615956
LLM360/Amber,ckpt_228,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.9658954326923075,3759.256489466978,0.0004402318485447973,0.0004402318485447973
LLM360/Amber,ckpt_261,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.5926983173076925,2572.256739659813,0.0006258767587497237,0.0006258767587497237
LLM360/Amber,ckpt_293,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.677734375,3119.943103300413,0.0007052258089767169,0.0007052258089767169
LLM360/Amber,ckpt_326,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.816556490384615,2757.5558041353293,0.0004549261321974474,0.0004549261321974474
LLM360/Amber,ckpt_358,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.771935096153846,3209.5077060700714,0.0005852900249540903,0.0005852900249540903
LLM360/Amber,main,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.30078125,1835.3519819926153,0.0009222841455453251,0.0009222841455453251
