model,checkpoint,textfrct_I2
LLM360/Amber,ckpt_000,5.770228794642857
LLM360/Amber,ckpt_032,8.959402901785714
LLM360/Amber,ckpt_065,7.500279017857143
LLM360/Amber,ckpt_097,8.255998883928571
LLM360/Amber,ckpt_130,9.220145089285714
LLM360/Amber,ckpt_163,8.650390625
LLM360/Amber,ckpt_195,8.348353794642858
LLM360/Amber,ckpt_228,8.124720982142858
LLM360/Amber,ckpt_261,8.366629464285714
LLM360/Amber,ckpt_293,7.432477678571429
LLM360/Amber,ckpt_326,8.674665178571429
LLM360/Amber,ckpt_358,8.299246651785714
LLM360/Amber,main,8.164899553571429
