model,checkpoint,compositional_translate_fr_eng_first
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.28654970760233917
LLM360/Amber,ckpt_065,0.30994152046783624
LLM360/Amber,ckpt_097,0.29239766081871343
LLM360/Amber,ckpt_130,0.2573099415204678
LLM360/Amber,ckpt_163,0.23976608187134502
LLM360/Amber,ckpt_195,0.28654970760233917
LLM360/Amber,ckpt_228,0.29239766081871343
LLM360/Amber,ckpt_261,0.29239766081871343
LLM360/Amber,ckpt_293,0.29239766081871343
LLM360/Amber,ckpt_326,0.26900584795321636
LLM360/Amber,ckpt_358,0.23976608187134502
LLM360/Amber,main,0.23976608187134502
