model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_first_upper,correct_first_upper,total_first_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_first_upper,True,,False,0.0,0,190,0.0,0,190,9.750205592105264,35846.905135101224,9.847165154510041e-05,9.847165154510041e-05
LLM360/Amber,ckpt_032,compositional_first_upper,True,,False,0.9052631578947369,172,190,0.9052631578947369,172,190,7.196669407894737,2404.136554268539,0.0011162557580121557,0.0011162557580121557
LLM360/Amber,ckpt_065,compositional_first_upper,True,,False,0.7736842105263158,147,190,0.7736842105263158,147,190,7.241344572368421,3280.8481067860357,0.0011196413560613779,0.0011196413560613779
LLM360/Amber,ckpt_097,compositional_first_upper,True,,False,0.9157894736842105,174,190,0.9157894736842105,174,190,6.559518914473684,981.8174869682795,0.0018798103604032474,0.0018798103604032474
LLM360/Amber,ckpt_130,compositional_first_upper,True,,False,0.9,171,190,0.9,171,190,6.431949013157895,1128.2848195589127,0.002270712441396057,0.002270712441396057
LLM360/Amber,ckpt_163,compositional_first_upper,True,,False,0.8631578947368421,164,190,0.8631578947368421,164,190,6.480139802631579,1851.3099288783915,0.0022940887786379533,0.0022940887786379533
LLM360/Amber,ckpt_195,compositional_first_upper,True,,False,0.8578947368421053,163,190,0.8578947368421053,163,190,6.450452302631579,1464.7512794814625,0.002276218454655645,0.002276218454655645
LLM360/Amber,ckpt_228,compositional_first_upper,True,,False,0.8736842105263158,166,190,0.8736842105263158,166,190,6.476233552631579,1118.8140337595914,0.002124706030867557,0.002124706030867557
LLM360/Amber,ckpt_261,compositional_first_upper,True,,False,0.9,171,190,0.9,171,190,6.447512335526316,1771.4699325394677,0.0022902864733240916,0.0022902864733240916
LLM360/Amber,ckpt_293,compositional_first_upper,True,,False,0.8631578947368421,164,190,0.8631578947368421,164,190,6.142845394736842,1398.5929878260656,0.0029491667142896587,0.0029491667142896587
LLM360/Amber,ckpt_326,compositional_first_upper,True,,False,0.7684210526315789,146,190,0.7684210526315789,146,190,6.811389802631579,2434.3761304769314,0.001625503096719605,0.001625503096719605
LLM360/Amber,ckpt_358,compositional_first_upper,True,,False,0.8105263157894737,154,190,0.8105263157894737,154,190,6.653186677631579,5327.862771842763,0.0020446709504492017,0.0020446709504492017
LLM360/Amber,main,compositional_first_upper,True,,False,0.7842105263157895,149,190,0.7842105263157895,149,190,6.550164473684211,3469.0685066304686,0.002351984124750265,0.002351984124750265
