model,checkpoint,logical_ops
LLM360/Amber,ckpt_000,9.792122395833333
LLM360/Amber,ckpt_032,5.383951822916667
LLM360/Amber,ckpt_065,5.0703125
LLM360/Amber,ckpt_097,4.673811848958334
LLM360/Amber,ckpt_130,4.581917317708333
LLM360/Amber,ckpt_163,4.690625
LLM360/Amber,ckpt_195,4.694759114583333
LLM360/Amber,ckpt_228,4.518229166666667
LLM360/Amber,ckpt_261,4.392220052083333
LLM360/Amber,ckpt_293,4.718603515625
LLM360/Amber,ckpt_326,4.695572916666666
LLM360/Amber,ckpt_358,4.656380208333333
LLM360/Amber,main,4.782649739583333
