model,checkpoint,compositional_upper_reverse_last
LLM360/Amber,ckpt_000,9.414212740384615
LLM360/Amber,ckpt_032,7.865835336538462
LLM360/Amber,ckpt_065,8.620492788461538
LLM360/Amber,ckpt_097,7.439002403846154
LLM360/Amber,ckpt_130,7.940054086538462
LLM360/Amber,ckpt_163,7.4893329326923075
LLM360/Amber,ckpt_195,8.114783653846153
LLM360/Amber,ckpt_228,8.005108173076923
LLM360/Amber,ckpt_261,7.896784855769231
LLM360/Amber,ckpt_293,7.406550480769231
LLM360/Amber,ckpt_326,7.960637019230769
LLM360/Amber,ckpt_358,7.986478365384615
LLM360/Amber,main,7.562049278846154
