model,checkpoint,token_reversal
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.05
LLM360/Amber,ckpt_065,0.05
LLM360/Amber,ckpt_097,0.15
LLM360/Amber,ckpt_130,0.2
LLM360/Amber,ckpt_163,0.05
LLM360/Amber,ckpt_195,0.3
LLM360/Amber,ckpt_228,0.1
LLM360/Amber,ckpt_261,0.05
LLM360/Amber,ckpt_293,0.05
LLM360/Amber,ckpt_326,0.2
LLM360/Amber,ckpt_358,0.15
LLM360/Amber,main,0.15
