model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_MA2,correct_MA2,total_MA2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,4.8599609375,146.70125336650239,0.00010327821554562533,0.008904626481445226
LLM360/Amber,ckpt_032,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,6.541927083333333,760.3341486392293,2.8391374322392007e-06,0.0015672097067753303
LLM360/Amber,ckpt_065,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,5.271614583333333,210.78900438059932,3.639452388042853e-05,0.005570315713978235
LLM360/Amber,ckpt_097,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,5.870052083333333,387.11417444949785,1.2064116586058987e-05,0.00312794403349369
LLM360/Amber,ckpt_130,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,6.222916666666666,547.7054641499271,5.369074171627577e-06,0.0021511153443658105
LLM360/Amber,ckpt_163,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,6.055989583333333,478.29645278043466,9.15981191668446e-06,0.002661408461343272
LLM360/Amber,ckpt_195,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,6.335416666666666,622.3414231558643,5.054032554472474e-06,0.0019898249202644175
LLM360/Amber,ckpt_228,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,5.849739583333333,382.89833421234454,1.311665843779563e-05,0.003217206919282454
LLM360/Amber,ckpt_261,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,5.840885416666667,388.87898040181875,1.4965269176992627e-05,0.0033476804077922392
LLM360/Amber,ckpt_293,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,5.902083333333334,404.37510520836616,1.1812436013042924e-05,0.0030608614965262344
LLM360/Amber,ckpt_326,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,6.562239583333334,775.7028947986616,2.898112043122727e-06,0.0015526464112969728
LLM360/Amber,ckpt_358,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,6.198177083333333,552.6379021500184,6.7440370791597645e-06,0.0023051792189073264
LLM360/Amber,main,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,5.936588541666667,425.08691423476364,1.1157379229563522e-05,0.0029813040109735013
