model,checkpoint,simple_icl_translate_eng_fr
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.653179190751445
LLM360/Amber,ckpt_065,0.7283236994219653
LLM360/Amber,ckpt_097,0.815028901734104
LLM360/Amber,ckpt_130,0.8265895953757225
LLM360/Amber,ckpt_163,0.8092485549132948
LLM360/Amber,ckpt_195,0.8439306358381503
LLM360/Amber,ckpt_228,0.8439306358381503
LLM360/Amber,ckpt_261,0.7861271676300579
LLM360/Amber,ckpt_293,0.8670520231213873
LLM360/Amber,ckpt_326,0.8439306358381503
LLM360/Amber,ckpt_358,0.861271676300578
LLM360/Amber,main,0.8497109826589595
