model,checkpoint,textfrct_RG1
LLM360/Amber,ckpt_000,8.569791666666667
LLM360/Amber,ckpt_032,9.842708333333333
LLM360/Amber,ckpt_065,9.81953125
LLM360/Amber,ckpt_097,9.797526041666666
LLM360/Amber,ckpt_130,8.737890625
LLM360/Amber,ckpt_163,9.248046875
LLM360/Amber,ckpt_195,9.149088541666666
LLM360/Amber,ckpt_228,8.916145833333333
LLM360/Amber,ckpt_261,8.767317708333334
LLM360/Amber,ckpt_293,8.909244791666667
LLM360/Amber,ckpt_326,9.317838541666667
LLM360/Amber,ckpt_358,9.350911458333334
LLM360/Amber,main,9.47890625
