model,checkpoint,simple_icl_first_letter
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.9631578947368421
LLM360/Amber,ckpt_065,0.9526315789473684
LLM360/Amber,ckpt_097,0.9842105263157894
LLM360/Amber,ckpt_130,0.9894736842105263
LLM360/Amber,ckpt_163,0.9789473684210527
LLM360/Amber,ckpt_195,0.9578947368421052
LLM360/Amber,ckpt_228,0.968421052631579
LLM360/Amber,ckpt_261,0.9526315789473684
LLM360/Amber,ckpt_293,0.968421052631579
LLM360/Amber,ckpt_326,0.9473684210526315
LLM360/Amber,ckpt_358,0.9631578947368421
LLM360/Amber,main,0.9368421052631579
