model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_V2,correct_V2,total_V2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,7.020616319444445,2085.139001916332,0.0013642977768118089,0.0013642977768118089
LLM360/Amber,ckpt_032,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,7.378363715277778,1754.672279236537,0.0006880187257444517,0.0006880187257444517
LLM360/Amber,ckpt_065,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,4.816731770833333,130.21211720599166,0.008490127656316966,0.008490127656316966
LLM360/Amber,ckpt_097,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,6.089192708333333,453.99759010731657,0.0023356072649461917,0.0023356072649461917
LLM360/Amber,ckpt_130,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,6.894639756944445,1063.0404883169808,0.0011005040293661419,0.0011005040293661419
LLM360/Amber,ckpt_163,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,6.065212673611111,443.4351363733682,0.002388936402110484,0.002388936402110484
LLM360/Amber,ckpt_195,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,5.823784722222222,356.39000717773865,0.003097094111772896,0.003097094111772896
LLM360/Amber,ckpt_228,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,5.662434895833333,301.2078315158172,0.003639718030403083,0.003639718030403083
LLM360/Amber,ckpt_261,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,5.636284722222222,286.5042796302482,0.0036465210054083632,0.0036465210054083632
LLM360/Amber,ckpt_293,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,6.074978298611111,448.3204377962318,0.002365339238659311,0.002365339238659311
LLM360/Amber,ckpt_326,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,5.994032118055555,418.5079323840139,0.002597625907232548,0.002597625907232548
LLM360/Amber,ckpt_358,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,5.670464409722222,308.6782216545888,0.003637467259440201,0.003637467259440201
LLM360/Amber,main,textfrct_V2,True,,False,0.0,0,36,0.0,0,36,6.3330078125,595.6549434577648,0.001872280859152729,0.001872280859152729
