model,checkpoint,compositional_translate_eng_fr_first
LLM360/Amber,ckpt_000,0.028901734104046242
LLM360/Amber,ckpt_032,0.27167630057803466
LLM360/Amber,ckpt_065,0.23699421965317918
LLM360/Amber,ckpt_097,0.26011560693641617
LLM360/Amber,ckpt_130,0.2543352601156069
LLM360/Amber,ckpt_163,0.19653179190751446
LLM360/Amber,ckpt_195,0.2254335260115607
LLM360/Amber,ckpt_228,0.23121387283236994
LLM360/Amber,ckpt_261,0.1907514450867052
LLM360/Amber,ckpt_293,0.21965317919075145
LLM360/Amber,ckpt_326,0.21965317919075145
LLM360/Amber,ckpt_358,0.1676300578034682
LLM360/Amber,main,0.1907514450867052
