model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_CV1,correct_CV1,total_CV1,accuracy_CV2,correct_CV2,total_CV2,accuracy_CV3,correct_CV3,total_CV3,accuracy_FA1,correct_FA1,total_FA1,accuracy_FA2,correct_FA2,total_FA2,accuracy_I1,correct_I1,total_I1,accuracy_I2,correct_I2,total_I2,accuracy_MA2,correct_MA2,total_MA2,accuracy_MA3,correct_MA3,total_MA3,accuracy_RG1,correct_RG1,total_RG1,accuracy_RG2,correct_RG2,total_RG2,accuracy_RG3,correct_RG3,total_RG3,accuracy_RL1,correct_RL1,total_RL1,accuracy_RL3,correct_RL3,total_RL3,accuracy_RL4,correct_RL4,total_RL4,accuracy_V1,correct_V1,total_V1,accuracy_V2,correct_V2,total_V2,accuracy_V3,correct_V3,total_V3,accuracy_V4,correct_V4,total_V4,accuracy_V5,correct_V5,total_V5,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability,predictions_file,num_predictions
LLM360/Amber,ckpt_000,textfrct,True,,False,0.008116883116883116,5,616,0.0,0.0,50.0,0.0,0.0,40.0,0.0,0.0,36.0,0.0,0.0,8.0,0.0,0.0,8.0,0.16666666666666666,5.0,30.0,0.0,0.0,28.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,24.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,48.0,0.0,0.0,36.0,0.0,0.0,36.0,8.025060876623376,87870.7214603403,0.0007807937134222471,0.0012761432925703089,,
LLM360/Amber,ckpt_032,textfrct,True,,True,0.0,0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_032/LLM360_Amber_ckpt_032_textfrct_CV3_Incomplete_Words_detailed.jsonl,126.0
LLM360/Amber,ckpt_065,textfrct,True,,True,0.0,0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_065/LLM360_Amber_ckpt_065_textfrct_CV1_Scrambled_Words_detailed.jsonl,126.0
LLM360/Amber,ckpt_097,textfrct,True,,True,0.0,0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_097/LLM360_Amber_ckpt_097_textfrct_CV2_Hidden_Words_detailed.jsonl,126.0
LLM360/Amber,ckpt_130,textfrct,True,,True,0.0,0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_130/LLM360_Amber_ckpt_130_textfrct_CV3_Incomplete_Words_detailed.jsonl,126.0
LLM360/Amber,ckpt_163,textfrct,True,,True,0.0,0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_163/LLM360_Amber_ckpt_163_textfrct_CV3_Incomplete_Words_detailed.jsonl,126.0
LLM360/Amber,ckpt_195,textfrct,True,,False,0.0,0,616,0.0,0.0,50.0,0.0,0.0,40.0,0.0,0.0,36.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,30.0,0.0,0.0,28.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,24.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,48.0,0.0,0.0,36.0,0.0,0.0,36.0,7.475979099025974,230380.0151814857,0.0012087739679389018,0.007164943122668568,,
LLM360/Amber,ckpt_228,textfrct,True,,True,0.004098360655737705,1,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_228/LLM360_Amber_ckpt_228_textfrct_I1_Letter_Sets_Test_detailed.jsonl,244.0
LLM360/Amber,ckpt_261,textfrct,True,,True,0.004098360655737705,1,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_261/LLM360_Amber_ckpt_261_textfrct_MA2_Objest-Number_Test_detailed.jsonl,244.0
LLM360/Amber,ckpt_293,textfrct,True,,True,0.0,0,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_293/LLM360_Amber_ckpt_293_textfrct_CV2_Hidden_Words_detailed.jsonl,244.0
LLM360/Amber,ckpt_326,textfrct,True,,True,0.0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_ckpt_326/LLM360_Amber_ckpt_326_textfrct_MA2_Objest-Number_Test_detailed.jsonl,30.0
LLM360/Amber,ckpt_358,textfrct,True,,False,0.0,0,616,0.0,0.0,50.0,0.0,0.0,40.0,0.0,0.0,36.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,30.0,0.0,0.0,28.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,24.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,48.0,0.0,0.0,36.0,0.0,0.0,36.0,7.319927265117695,370853.26223096595,0.001361925406325651,0.008195828487033747,,
LLM360/Amber,main,textfrct,True,,True,0.046153846153846156,18,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/amber/Amber_main/LLM360_Amber_main_textfrct_RL3_Inference_Test_detailed.jsonl,390.0
