model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_first,correct_translate_sp_eng_first,total_translate_sp_eng_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_sp_eng_first,True,,False,0.03932584269662921,7,178,0.03932584269662921,7,178,8.016305301966293,5643.967131198577,0.000531261668022426,0.000531261668022426
LLM360/Amber,ckpt_032,compositional_translate_sp_eng_first,True,,False,0.2247191011235955,40,178,0.2247191011235955,40,178,10.000065835674157,166488.4059047268,0.00028716562362910076,0.00028716562362910076
LLM360/Amber,ckpt_065,compositional_translate_sp_eng_first,True,,False,0.2303370786516854,41,178,0.2303370786516854,41,178,9.57494294241573,231907.4470509321,0.0006472257147863718,0.0006472257147863718
LLM360/Amber,ckpt_097,compositional_translate_sp_eng_first,True,,False,0.23595505617977527,42,178,0.23595505617977527,42,178,9.50443293539326,84131.33226802325,0.0002847794085933312,0.0002847794085933312
LLM360/Amber,ckpt_130,compositional_translate_sp_eng_first,True,,False,0.25280898876404495,45,178,0.25280898876404495,45,178,9.951544943820224,124255.04800575298,0.00016441123537959979,0.00016441123537959979
LLM360/Amber,ckpt_163,compositional_translate_sp_eng_first,True,,False,0.25280898876404495,45,178,0.25280898876404495,45,178,9.435502984550562,78917.85485672957,0.00032288579892306293,0.00032288579892306293
LLM360/Amber,ckpt_195,compositional_translate_sp_eng_first,True,,False,0.2696629213483146,48,178,0.2696629213483146,48,178,9.618262816011235,98461.65487201579,0.00028500599145558545,0.00028500599145558545
LLM360/Amber,ckpt_228,compositional_translate_sp_eng_first,True,,False,0.24157303370786518,43,178,0.24157303370786518,43,178,9.388540203651685,77513.5487014695,0.0003579629715499256,0.0003579629715499256
LLM360/Amber,ckpt_261,compositional_translate_sp_eng_first,True,,False,0.19662921348314608,35,178,0.19662921348314608,35,178,9.706197331460674,71954.55682719557,0.000221099561883465,0.000221099561883465
LLM360/Amber,ckpt_293,compositional_translate_sp_eng_first,True,,False,0.2303370786516854,41,178,0.2303370786516854,41,178,9.788864992977528,96273.96781832958,0.0002375762121280036,0.0002375762121280036
LLM360/Amber,ckpt_326,compositional_translate_sp_eng_first,True,,False,0.2247191011235955,40,178,0.2247191011235955,40,178,9.639681355337078,104747.4978130415,0.0002381417432293377,0.0002381417432293377
LLM360/Amber,ckpt_358,compositional_translate_sp_eng_first,True,,False,0.23595505617977527,42,178,0.23595505617977527,42,178,9.734550561797754,96277.33111708348,0.00025363352352027543,0.00025363352352027543
LLM360/Amber,main,compositional_translate_sp_eng_first,True,,False,0.21348314606741572,38,178,0.21348314606741572,38,178,9.187631671348315,92383.8057409581,0.00034780032218560485,0.00034780032218560485
