model,checkpoint,copying
LLM360/Amber,ckpt_000,7.672265625
LLM360/Amber,ckpt_032,3.122216796875
LLM360/Amber,ckpt_065,2.78447265625
LLM360/Amber,ckpt_097,2.742919921875
LLM360/Amber,ckpt_130,2.3954345703125
LLM360/Amber,ckpt_163,2.731201171875
LLM360/Amber,ckpt_195,2.690625
LLM360/Amber,ckpt_228,2.586572265625
LLM360/Amber,ckpt_261,2.599951171875
LLM360/Amber,ckpt_293,2.5869140625
LLM360/Amber,ckpt_326,2.836328125
LLM360/Amber,ckpt_358,2.801904296875
LLM360/Amber,main,2.76220703125
