model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_reverse,correct_translate_sp_eng_reverse,total_translate_sp_eng_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.415445049157304,125823.1741193598,5.2764994169993e-07,0.00024245449376521008
LLM360/Amber,ckpt_032,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.01119206460674,2934539.2303834157,1.1658069649199948e-07,0.00027648544418262474
LLM360/Amber,ckpt_065,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.602220856741573,878163.614489218,2.797897535182361e-07,0.0004901943926549329
LLM360/Amber,ckpt_097,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.487974016853933,250277.9817099549,1.9017032676045888e-07,0.00037766523958924196
LLM360/Amber,ckpt_130,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.577422752808989,526780.5023703149,1.3059541412042586e-07,0.000297077637224919
LLM360/Amber,ckpt_163,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.447287570224718,421865.6724673837,2.9248958682298576e-07,0.00043319010692695445
LLM360/Amber,ckpt_195,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.35766327247191,412685.1555338456,4.999867726653982e-07,0.00040820887921113697
LLM360/Amber,ckpt_228,compositional_translate_sp_eng_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,9.166893433988765,163583.97240690576,2.787687671730387e-06,0.000587373996183614
LLM360/Amber,ckpt_261,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.306684515449438,629557.372291975,1.0200173934161546e-06,0.0004369793982732256
LLM360/Amber,ckpt_293,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.51975070224719,661746.3890801023,1.8330853532006056e-07,0.0003462807933878215
LLM360/Amber,ckpt_326,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.355534585674157,278902.1352775672,5.662179024257457e-07,0.0004354720264394592
LLM360/Amber,ckpt_358,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.49267029494382,923693.5181202671,4.3597909979985335e-07,0.0004719241424416683
LLM360/Amber,main,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.379454880617978,785097.0897576351,3.0731738007245287e-07,0.0004676524540232496
