model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng,correct_translate_sp_eng,total_translate_sp_eng,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,simple_icl_translate_sp_eng,True,,False,0.0,0,178,0.0,0,178,11.78370786516854,1091550.7933192193,2.7393214609068094e-06,7.409115366196329e-05
LLM360/Amber,ckpt_032,simple_icl_translate_sp_eng,True,,False,0.8258426966292135,147,178,0.8258426966292135,147,178,6.266096822331461,186974.91548393006,0.0008780730729917643,0.010576897567387474
LLM360/Amber,ckpt_065,simple_icl_translate_sp_eng,True,,False,0.8426966292134831,150,178,0.8426966292134831,150,178,6.120512201544944,9181.210488098712,0.0007933660948850167,0.009470730994740294
LLM360/Amber,ckpt_097,simple_icl_translate_sp_eng,True,,False,0.8764044943820225,156,178,0.8764044943820225,156,178,5.548751316713483,10986.25986833201,0.001470363806768181,0.013725155868067659
LLM360/Amber,ckpt_130,simple_icl_translate_sp_eng,True,,False,0.898876404494382,160,178,0.898876404494382,160,178,5.107421875,2684.2010396370524,0.0020862530595425655,0.018320326796695142
LLM360/Amber,ckpt_163,simple_icl_translate_sp_eng,True,,False,0.8876404494382022,158,178,0.8876404494382022,158,178,5.094309603230337,30540.695443838886,0.0022258109669367723,0.01798207496923312
LLM360/Amber,ckpt_195,simple_icl_translate_sp_eng,True,,False,0.8764044943820225,156,178,0.8764044943820225,156,178,5.42649446980337,61089.719787427064,0.0015434896433104916,0.015200957829373125
LLM360/Amber,ckpt_228,simple_icl_translate_sp_eng,True,,False,0.8932584269662921,159,178,0.8932584269662921,159,178,4.85912811622191,51103.482801356164,0.0033314551461028855,0.022079213583473166
LLM360/Amber,ckpt_261,simple_icl_translate_sp_eng,True,,False,0.9157303370786517,163,178,0.9157303370786517,163,178,4.904735779494382,90763.98764888936,0.003032355854837663,0.020309998863756725
LLM360/Amber,ckpt_293,simple_icl_translate_sp_eng,True,,False,0.9157303370786517,163,178,0.9157303370786517,163,178,5.019750702247191,9794.985052728327,0.002271376016161914,0.01933615133867113
LLM360/Amber,ckpt_326,simple_icl_translate_sp_eng,True,,False,0.9213483146067416,164,178,0.9213483146067416,164,178,5.338790379213483,10167.742823404264,0.0015492766343645791,0.01553991234188829
LLM360/Amber,ckpt_358,simple_icl_translate_sp_eng,True,,False,0.9101123595505618,162,178,0.9101123595505618,162,178,5.814507988061798,22226.625385158757,0.0008335475076975766,0.012191939863035491
LLM360/Amber,main,simple_icl_translate_sp_eng,True,,False,0.9269662921348315,165,178,0.9269662921348315,165,178,5.346548016151686,16156.96241214074,0.001487549463838554,0.016296623400763592
