model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_V1,correct_V1,total_V1,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,6.178493923611111,650.2649613725055,0.002707746638521188,0.002707746638521188
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,6.153645833333333,595.2406027445328,0.0026957390984256855,0.0026957390984256855
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,7.478190104166667,2309.5289654595035,0.0007315727390224368,0.0007315727390224368
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,8.020399305555555,4008.6934211533476,0.0004376897449655314,0.0004376897449655314
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,4.491644965277778,109.30560164459968,0.013801298772600787,0.013801298772600787
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,11.589192708333334,155645.39269037647,1.2394664480050483e-05,1.2394664480050483e-05
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,10.60546875,55730.15416591758,3.4798621071150015e-05,3.4798621071150015e-05
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,8.21506076388889,4654.515362701187,0.00034708594807304,0.00034708594807304
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,9.03493923611111,10313.395317930299,0.00014799678663474073,0.00014799678663474073
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,5.942708333333333,839.7948073420422,0.0043475471648815435,0.0043475471648815435
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,10.48556857638889,69503.18224360135,4.953258551795873e-05,4.953258551795873e-05
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,4.982503255208333,513.8010134092965,0.022085347534695977,0.022085347534695977
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,7.484809027777778,4770.894502690253,0.0009906499138245823,0.0009906499138245823
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,6.424858940972222,972.3230701510523,0.0026482975475831333,0.0026482975475831333
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,7.212565104166667,2848.5472401789225,0.0012784440024605995,0.0012784440024605995
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,6.799696180555555,1847.8768483277013,0.0024766183709542997,0.0024766183709542997
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,6.517035590277778,1312.9448906275613,0.0022661359868542965,0.0022661359868542965
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,7.245551215277778,2668.566312565,0.0011458392955581056,0.0011458392955581056
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,4.328667534722222,141.60735789815763,0.024969944509281475,0.024969944509281475
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,6.295681423611111,2066.817563743036,0.004985350441954948,0.004985350441954948
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,5.024468315972222,190.36669074768236,0.008137973824573775,0.008137973824573775
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,6.4462890625,1327.883151874541,0.002560271413602325,0.002560271413602325
allenai/OLMo-2-1124-7B,main,textfrct_V1,True,,False,0.0,0,36,0.0,0,36,3.5751953125,40.61706516828999,0.03139781180466355,0.03139781180466355
