model,checkpoint,compositional_plural_first
allenai/OLMo-2-1124-7B,main,7.433309659090909
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.159315814393939
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.0625
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.523342803030303
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.36401515151515
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.248674242424242
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.709303977272727
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.945217803030303
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.082149621212121
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.719223484848484
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.768016098484848
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.394767992424242
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.7631865530303035
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.384469696969697
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.593442234848485
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.047088068181818
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,8.143607954545455
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.877651515151515
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,8.670857007575757
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.839914772727273
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.003669507575758
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.977556818181818
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.04173768939394
