model,checkpoint,compositional_translate_eng_fr_lower
allenai/OLMo-2-1124-7B,main,0.8848484848484849
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.37572254335260113
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.8670520231213873
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.8034682080924855
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.7818181818181819
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.49710982658959535
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.806060606060606
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.8181818181818182
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.653179190751445
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.8121212121212121
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.6936416184971098
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.8545454545454545
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.7341040462427746
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.7687861271676301
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.7861271676300579
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.8092485549132948
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.14450867052023122
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.7803468208092486
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.7745664739884393
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.8208092485549133
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.8439306358381503
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.8265895953757225
