model,checkpoint,compositional_translate_eng_fr_first
allenai/OLMo-2-1124-7B,main,9.702899205202312
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,10.373758128612717
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,10.949105852601155
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,12.022737536127167
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,11.013525108381502
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.42855852601156
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,11.477149566473988
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,11.03849801300578
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,10.883399566473988
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,11.114906972543352
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,11.111136199421965
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,11.273189125722544
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,10.422778179190752
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,11.02192467485549
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,10.896315028901734
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,11.422145953757225
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,10.413723807803468
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.15755960982659
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.795475072254336
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,11.551187680635838
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,10.686054913294798
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,10.729249458092486
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,10.063199963872833
