model,checkpoint,compositional_first_upper
allenai/OLMo-2-1124-7B,main,7.485026041666667
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,6.653754340277778
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.812934027777778
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,8.264214409722221
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.918511284722222
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.417534722222221
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.605143229166666
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.050347222222221
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.5791015625
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.47243923611111
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.096354166666666
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.431098090277779
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.639539930555555
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.439995659722221
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.52907986111111
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.92751736111111
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.829644097222222
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.244249131944445
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.916341145833333
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.38888888888889
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.035590277777779
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.542209201388889
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.985568576388889
