model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_pronoun_simple,accuracy_pronoun_hard,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,coreference,True,,False,0.0,0,40,0.0,0.0,10.439453125,99166.72709988584,2.9331217096004466e-06,6.185817923105085e-05
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,coreference,True,,False,0.825,33,40,0.95,0.7,4.335038208961487,697.3266716382423,0.12450804418131922,0.13947367867833588
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,coreference,True,,False,0.85,34,40,0.9,0.8,4.46306928396225,2176.367127060189,0.12454171770482628,0.13827643221354027
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,coreference,True,,False,0.9,36,40,1.0,0.8,4.514309686422348,1687.9707292535197,0.1251504229619492,0.13892834603283907
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,coreference,True,,False,0.875,35,40,0.95,0.8,4.439977836608887,2255.0381016760025,0.1248174102813607,0.13974733876874762
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,coreference,True,,False,0.875,35,40,1.0,0.75,4.361281383037567,2047.0978052324226,0.1246819257266057,0.14228947884869333
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,coreference,True,,False,0.85,34,40,0.95,0.75,4.650171643495559,1319.9135852945174,0.12271970623115244,0.1349928647693024
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,coreference,True,,False,0.85,34,40,0.95,0.75,4.3237025260925295,557.5420203428145,0.12459065588256946,0.13814455829480746
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,coreference,True,,False,0.9,36,40,1.0,0.8,4.598652851581574,720.0339055860685,0.12250740237772555,0.1336607088991275
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,coreference,True,,False,0.875,35,40,0.95,0.8,4.4320400893688205,479.62994240180706,0.12457302285793974,0.13712745754292807
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,coreference,True,,False,0.925,37,40,1.0,0.85,4.759374076128006,1753.8151280245038,0.12482394886774088,0.13509213049604724
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,coreference,True,,False,0.85,34,40,0.95,0.75,4.388442361354828,602.7606403470944,0.12514160813692157,0.13914246712188347
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,coreference,True,,False,0.9,36,40,0.95,0.85,4.576689872145653,1102.5057396389184,0.12462666465276476,0.13623044619096814
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,coreference,True,,False,0.875,35,40,0.95,0.8,4.655312597751617,3449.413248127746,0.12502630948285404,0.13711826560228366
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,coreference,True,,False,0.9,36,40,0.95,0.85,4.631928420066833,4501.740988302359,0.12473326265348669,0.13683609959385545
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,coreference,True,,False,0.9,36,40,1.0,0.8,4.886640894412994,3874.8774167757174,0.12379417739320679,0.13363660063873048
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,coreference,True,,False,0.9,36,40,0.95,0.85,4.904040670394897,2048.120834608674,0.12420969260091771,0.13406824767522874
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,coreference,True,,False,0.925,37,40,1.0,0.85,4.758693593740463,2917.527718602178,0.12339026976423337,0.1349621953283075
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,coreference,True,,False,0.925,37,40,1.0,0.85,4.7720102906227115,4559.550599100823,0.12438954808815439,0.13523613544847382
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,coreference,True,,False,0.95,38,40,1.0,0.9,4.7456814527511595,2396.7176898765038,0.12475160496978824,0.13581600019320972
allenai/OLMo-2-1124-7B,main,coreference,True,,False,0.9,36,40,0.95,0.85,6.01492300927639,48106.2274186228,0.12485667307289312,0.1286104361100364
