model,checkpoint,compositional_translate_fr_eng_upper
allenai/OLMo-2-1124-7B,main,0.8245614035087719
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.28654970760233917
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.7134502923976608
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.7134502923976608
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.7017543859649122
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.38596491228070173
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.7719298245614035
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.7660818713450293
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.45614035087719296
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.783625730994152
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.5555555555555556
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.7894736842105263
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.5146198830409356
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.5964912280701754
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.6257309941520468
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.6140350877192983
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.05847953216374269
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.6842105263157895
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.695906432748538
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.695906432748538
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.6900584795321637
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.7134502923976608
