model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_first,correct_plural_first,total_plural_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_plural_first,True,,False,0.0,0,165,0.0,0,165,8.248674242424242,5155.876558135259,0.00039925758114739917,0.00039925758114739917
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_plural_first,True,,False,0.5515151515151515,91,165,0.5515151515151515,91,165,9.877651515151515,43536.089047429785,0.00010755859693040677,0.00010755859693040677
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_plural_first,True,,False,0.9454545454545454,156,165,0.9454545454545454,156,165,7.159315814393939,2234.0086530374483,0.001349203191736977,0.001349203191736977
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_plural_first,True,,False,0.9090909090909091,150,165,0.9090909090909091,150,165,8.709303977272727,9988.824212809737,0.0002881685608743318,0.0002881685608743318
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_plural_first,True,,False,0.9454545454545454,156,165,0.9454545454545454,156,165,7.719223484848484,4007.2850970663603,0.0007006938038638098,0.0007006938038638098
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_plural_first,True,,False,0.9333333333333333,154,165,0.9333333333333333,154,165,8.394767992424242,8808.283706269494,0.0004464282346382348,0.0004464282346382348
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_plural_first,True,,False,0.9272727272727272,153,165,0.9272727272727272,153,165,8.384469696969697,8641.556798211475,0.00038516598692764386,0.00038516598692764386
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_plural_first,True,,False,0.8909090909090909,147,165,0.8909090909090909,147,165,8.593442234848485,10731.293767262863,0.0002932741467015515,0.0002932741467015515
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_plural_first,True,,False,0.9333333333333333,154,165,0.9333333333333333,154,165,9.047088068181818,14406.533466424067,0.0002085414739467353,0.0002085414739467353
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_plural_first,True,,False,0.9696969696969697,160,165,0.9696969696969697,160,165,8.143607954545455,5414.0915759556665,0.000537488237625361,0.000537488237625361
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_plural_first,True,,False,0.8909090909090909,147,165,0.8909090909090909,147,165,8.670857007575757,8867.627262278796,0.0002464640329793462,0.0002464640329793462
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_plural_first,True,,False,0.9272727272727272,153,165,0.9272727272727272,153,165,8.839914772727273,11016.857389017632,0.00022510493051922158,0.00022510493051922158
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_plural_first,True,,False,0.9515151515151515,157,165,0.9515151515151515,157,165,8.003669507575758,4762.09348493474,0.0005481135739376304,0.0005481135739376304
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_plural_first,True,,False,0.9151515151515152,151,165,0.9151515151515152,151,165,7.977556818181818,5084.065025756323,0.0005585551975329543,0.0005585551975329543
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_plural_first,True,,False,0.9333333333333333,154,165,0.9333333333333333,154,165,7.04173768939394,2019.7030936586555,0.0015503580298342433,0.0015503580298342433
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_plural_first,True,,False,0.9393939393939394,155,165,0.9393939393939394,155,165,8.0625,5653.784726270599,0.0005090723050296351,0.0005090723050296351
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_plural_first,True,,False,0.9515151515151515,157,165,0.9515151515151515,157,165,9.523342803030303,23273.378465784102,0.00010875465770322657,0.00010875465770322657
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_plural_first,True,,False,0.9272727272727272,153,165,0.9272727272727272,153,165,8.36401515151515,7013.383579495015,0.0003471180092649338,0.0003471180092649338
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_plural_first,True,,False,0.896969696969697,148,165,0.896969696969697,148,165,8.945217803030303,11727.661851096676,0.00021825369932469363,0.00021825369932469363
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_plural_first,True,,False,0.8909090909090909,147,165,0.8909090909090909,147,165,8.082149621212121,5135.800262538706,0.0004773278341966741,0.0004773278341966741
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_plural_first,True,,False,0.8666666666666667,143,165,0.8666666666666667,143,165,8.768016098484848,11959.484474248111,0.0002442097891782608,0.0002442097891782608
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_plural_first,True,,False,0.9090909090909091,150,165,0.9090909090909091,150,165,7.7631865530303035,3806.379582075923,0.0006331429183644799,0.0006331429183644799
allenai/OLMo-2-1124-7B,main,compositional_plural_first,True,,False,0.9515151515151515,157,165,0.9515151515151515,157,165,7.433309659090909,2833.466207763999,0.0008905721792896211,0.0008905721792896211
