model,checkpoint,compositional_upper_reverse_last
allenai/OLMo-2-1124-7B,main,7.699969951923077
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.254657451923077
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.650841346153846
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,8.611478365384615
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.602463942307692
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.774338942307692
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.492337740384615
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.938401442307692
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.1484375
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.078575721153847
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.016526442307692
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.876051682692308
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.245643028846154
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.928786057692308
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.524188701923077
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.49579326923077
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.851412259615385
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.282451923076923
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,8.23467548076923
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.615084134615385
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.176382211538462
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.9169170673076925
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.282902644230769
