model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse_last,correct_upper_reverse_last,total_upper_reverse_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_upper_reverse_last,True,,False,0.0,0,26,0.0,0,26,8.774338942307692,8250.274531058687,0.00020925463579872966,0.00020925463579872966
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.282451923076923,5276.272608362619,0.0003423800380722109,0.0003423800380722109
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.254657451923077,1768.0641816117457,0.0008752639482846624,0.0008752639482846624
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.492337740384615,6058.8386647796515,0.0002521271960691318,0.0002521271960691318
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.078575721153847,4328.473545774152,0.00036050458660003015,0.00036050458660003015
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.876051682692308,9323.379032201203,0.00017545783222925294,0.00017545783222925294
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.928786057692308,9278.920909969615,0.00015965491038896613,0.00015965491038896613
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.524188701923077,5717.234242317588,0.00022464884961621208,0.00022464884961621208
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,9.49579326923077,15041.118767556867,8.589435505259128e-05,8.589435505259128e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.851412259615385,2918.183076759132,0.0004496338808730737,0.0004496338808730737
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.23467548076923,4306.866950687433,0.0003086586603081644,0.0003086586603081644
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.615084134615385,6597.90502851402,0.00021927994888136043,0.00021927994888136043
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.176382211538462,4344.791238081377,0.000338762397273487,0.000338762397273487
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.9169170673076925,3215.0523084214583,0.00043567453669426476,0.00043567453669426476
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.282902644230769,1925.7879166552614,0.0009239750408981946,0.0009239750408981946
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.650841346153846,2385.1057924900724,0.0005498173928544464,0.0005498173928544464
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.611478365384615,6662.298673759055,0.00021778880921905592,0.00021778880921905592
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.602463942307692,6424.069396956208,0.00021458821406953867,0.00021458821406953867
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.938401442307692,9127.053451555399,0.00015875294838666376,0.00015875294838666376
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.1484375,4025.431165963157,0.0003363799942810013,0.0003363799942810013
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.016526442307692,3772.8071988634274,0.00040905463474778033,0.00040905463474778033
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.245643028846154,1629.173354544089,0.0008539780287774638,0.0008539780287774638
allenai/OLMo-2-1124-7B,main,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.699969951923077,2686.764716132983,0.0005511793923886962,0.0005511793923886962
