model,checkpoint,compositional_translate_sp_eng_lower
allenai/OLMo-2-1124-7B,main,0.9382022471910112
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.5056179775280899
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.8876404494382022
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.8595505617977528
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.8932584269662921
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.6573033707865169
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.8820224719101124
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.9269662921348315
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.7303370786516854
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.898876404494382
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.7752808988764045
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.8932584269662921
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.797752808988764
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.8595505617977528
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.8258426966292135
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.8258426966292135
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.07303370786516854
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.8595505617977528
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.8426966292134831
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.8539325842696629
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.8651685393258427
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.8764044943820225
