model,checkpoint,simple_icl_translate_sp_eng
allenai/OLMo-2-1124-7B,main,0.9213483146067416
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.48314606741573035
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.848314606741573
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.8258426966292135
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.8595505617977528
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.6629213483146067
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.8764044943820225
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.8426966292134831
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.6966292134831461
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.8258426966292135
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.7471910112359551
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.8426966292134831
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.7752808988764045
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.7584269662921348
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.7921348314606742
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.7752808988764045
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.011235955056179775
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.8202247191011236
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.7752808988764045
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.7921348314606742
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.8426966292134831
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.8651685393258427
