model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_I1,correct_I1,total_I1,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,6.220442708333334,531.371925752878,0.0021095355411792165,0.0021095355411792165
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,8.754427083333333,7930.744978430034,0.0002122260549961236,0.0002122260549961236
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.641927083333334,17962.289571293448,7.975158070628917e-05,7.975158070628917e-05
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.0984375,9348.454565835995,0.00011864584230182624,0.00011864584230182624
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.641145833333333,16158.882962196654,6.898641971881296e-05,6.898641971881296e-05
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.44453125,38731.77772901092,3.344668845119099e-05,3.344668845119099e-05
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.810416666666667,19843.50329288354,6.039660674601707e-05,6.039660674601707e-05
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.01640625,24667.991123657146,5.203029115708702e-05,5.203029115708702e-05
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.849479166666667,20460.091374473657,5.793840934798132e-05,5.793840934798132e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.8171875,20773.046791287423,6.458985306622881e-05,6.458985306622881e-05
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.148697916666666,29223.75031224194,4.737252871501688e-05,4.737252871501688e-05
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.228385416666667,30598.91851631015,4.171050070883727e-05,4.171050070883727e-05
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.759895833333333,19130.111609031403,6.745654353660164e-05,6.745654353660164e-05
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.744010416666667,18853.106409544685,6.84356193171404e-05,6.84356193171404e-05
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.823177083333333,19653.34638374405,5.9244173262223535e-05,5.9244173262223535e-05
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.30859375,31997.069578193314,3.669540385189895e-05,3.669540385189895e-05
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.177864583333333,28238.75407051376,4.204725832142794e-05,4.204725832142794e-05
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.402864583333333,42046.50137987396,4.0545262959642416e-05,4.0545262959642416e-05
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.343489583333334,32762.521187821447,3.474847300161537e-05,3.474847300161537e-05
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.046614583333334,24888.030583082596,4.741544070736545e-05,4.741544070736545e-05
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,10.554427083333334,42328.44370326171,3.089657565422366e-05,3.089657565422366e-05
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,textfrct_I1,True,,False,0.0,0,30,0.0,0,30,9.340364583333333,12470.016165912537,9.709418041331503e-05,9.709418041331503e-05
allenai/OLMo-2-1124-7B,main,textfrct_I1,True,,False,0.16666666666666666,5,30,0.16666666666666666,5,30,11.947135416666667,170157.19884541782,7.573358160738711e-06,7.573358160738711e-06
