model,checkpoint,simple_icl_translate_sp_eng
allenai/OLMo-2-1124-7B,main,6.317042661516854
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.550847085674157
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.305576281601123
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,6.704946453651686
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,6.624188026685394
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.685437148876405
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,7.70190704002809
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,6.70530854985955
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,6.39550232619382
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.709522033005618
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,6.635193556882022
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.010544680477528
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,6.805290993679775
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,7.472787921348314
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.057282522823034
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,7.404132285814606
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.52366792485955
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,12.111306179775282
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.253609989466292
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.474894662921348
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.602593925561798
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.984375
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.66869294241573
