model,checkpoint,compositional_translate_fr_eng_upper
allenai/OLMo-2-1124-7B,main,4.858324195906433
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,6.876324926900585
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,6.113566794590644
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,5.765784904970761
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,6.109974643640351
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,12.21893274853801
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,6.53397980628655
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,5.778497350146199
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,5.510730765716374
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,6.443707739400585
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,5.632178591008772
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,6.325486567982456
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,5.681594937865497
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,6.194210297880117
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,5.884462947733918
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,6.2019599780701755
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,6.017343978435672
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.020673428362572
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,6.022934941520468
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,6.050061677631579
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,6.3091077302631575
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.160441794590644
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,5.8104840551900585
