model,checkpoint,simple_icl_translate_eng_fr
allenai/OLMo-2-1124-7B,main,4.385730897760116
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,6.486040236632948
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,5.581393379696531
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,5.400813990245664
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,5.205648256864162
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.0152637283237
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,5.647709311777457
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,5.052903721098266
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,5.358878251445087
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,6.039621342124278
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,5.145699738078035
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,5.705337789017341
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,4.773872154985549
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,5.5618282604768785
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,5.577966943641618
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,5.748080744219653
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,5.166630915823699
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,7.463906701589595
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,5.543505012644508
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,5.036889225072255
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,5.383049584537572
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,5.220313628973988
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,5.256440796604046
