model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_first,correct_upper_first,total_upper_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_upper_first,True,,False,0.0,0,36,0.0,0,36,8.56423611111111,6040.176614282659,0.00022273758551831098,0.00022273758551831098
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_upper_first,True,,False,0.8611111111111112,31,36,0.8611111111111112,31,36,9.028211805555555,15499.290615660788,0.0002218847613900471,0.0002218847613900471
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_upper_first,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,6.712348090277778,1371.047824859389,0.002128849038354775,0.002128849038354775
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.341688368055555,6247.693489365227,0.0003233896481293205,0.0003233896481293205
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.544270833333334,8236.631280205846,0.00035900791341780044,0.00035900791341780044
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.374565972222221,7274.473338989526,0.0004117029574814578,0.0004117029574814578
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.428602430555555,6744.643337739554,0.00031845881251842627,0.00031845881251842627
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.388780381944445,6694.182052937251,0.0003143681414804976,0.0003143681414804976
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.991644965277779,12245.882915418884,0.0001655020504383075,0.0001655020504383075
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.192925347222221,6305.503910765723,0.00045970095844678565,0.00045970095844678565
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.104058159722221,4428.76654874895,0.00042378170493983077,0.00042378170493983077
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.380859375,6354.146302207032,0.00031338260585890045,0.00031338260585890045
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.003038194444445,4397.604248662916,0.00045736196443704985,0.00045736196443704985
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.643120659722222,2512.3054803786313,0.0005824663075303942,0.0005824663075303942
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,6.772677951388889,1205.6886526625142,0.0015325788142267378,0.0015325788142267378
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,7.851996527777778,3426.3901141786505,0.0005112016927101442,0.0005112016927101442
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.20041232638889,5202.908112313369,0.00040410394279307197,0.00040410394279307197
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,7.932834201388889,3686.2689770224015,0.0004604993251575611,0.0004604993251575611
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,8.001844618055555,4387.099225949924,0.0005552805980276122,0.0005552805980276122
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,7.160047743055555,1887.4148074079988,0.0010875680119770187,0.0010875680119770187
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.109809027777779,4096.096064371118,0.00037568537136073335,0.00037568537136073335
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_upper_first,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,7.750325520833333,6259.162635057989,0.0006592617560552618,0.0006592617560552618
allenai/OLMo-2-1124-7B,main,compositional_upper_first,True,,False,1.0,36,36,1.0,36,36,7.499348958333333,2219.111795576712,0.000685973466108256,0.000685973466108256
