model,checkpoint,compositional_translate_eng_fr_reverse
allenai/OLMo-2-1124-7B,main,9.722814306358382
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,10.22100794797688
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,9.969901553468208
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.996229226878613
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,9.953779804913294
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.50483200867052
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,9.857252528901734
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,9.85572841401734
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,9.988032875722544
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,9.879177203757225
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,10.079299132947977
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.834876264450868
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,10.068889992774567
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.85732026734104
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,9.768289378612717
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.95741510115607
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.74778721098266
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,10.19736723265896
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.633715679190752
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,9.93693551300578
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,9.80229407514451
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,9.775356755780347
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,9.751422507225433
