model,checkpoint,textfrct_RL1
allenai/OLMo-2-1124-7B,main,14.921875
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,12.413541666666667
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,14.052604166666667
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,14.118229166666667
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,14.041666666666666
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,9.032291666666667
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,14.397395833333333
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,15.244270833333333
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,13.45625
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,13.122916666666667
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,15.2109375
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,12.784895833333334
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,14.530208333333333
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,13.7796875
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,12.906770833333333
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,13.265104166666667
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,14.0375
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.6
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,13.103645833333333
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,13.257291666666667
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,12.222916666666666
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,13.118229166666667
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,13.390625
