model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_reverse_first,correct_reverse_first,total_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_reverse_first,True,,False,0.0,0,36,0.0,0,36,7.9716796875,3577.4696648696254,0.00042511479971962113,0.00042511479971962113
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.191948784722221,134678.86834363235,3.79547049450805e-05,3.79547049450805e-05
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,9.490125868055555,24088.14218720739,0.00013150111562807785,0.00013150111562807785
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_reverse_first,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,10.30099826388889,61662.48363269937,6.562170940404502e-05,6.562170940404502e-05
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_reverse_first,True,,False,0.2222222222222222,8,36,0.2222222222222222,8,36,10.10427517361111,52764.51538128349,0.000103597639871812,0.000103597639871812
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_reverse_first,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,9.775824652777779,43886.53178879825,0.00019646044510090007,0.00019646044510090007
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.95138888888889,49747.966279959524,0.000135001170130622,0.000135001170130622
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_reverse_first,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.252061631944445,72377.12977476267,0.00010146941812412845,0.00010146941812412845
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_reverse_first,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.197699652777779,62109.22129343184,0.00010037472025176067,0.00010037472025176067
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_reverse_first,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,8.970377604166666,22324.218139536308,0.0003018231635893246,0.0003018231635893246
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_reverse_first,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.13986545138889,80492.80739075837,0.00011849043959296596,0.00011849043959296596
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_reverse_first,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.18967013888889,80206.65175252601,0.00010053192566556586,0.00010053192566556586
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.018012152777779,47917.82699059054,9.951326656607848e-05,9.951326656607848e-05
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_reverse_first,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,8.99728732638889,29558.43256799475,0.00036430516202281144,0.00036430516202281144
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_reverse_first,True,,False,0.2222222222222222,8,36,0.2222222222222222,8,36,8.458441840277779,15000.682401613894,0.0006277469793074295,0.0006277469793074295
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_reverse_first,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.581380208333334,121923.71473309856,8.542378803696205e-05,8.542378803696205e-05
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_reverse_first,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.947916666666666,130296.27239165835,3.866045795023261e-05,3.866045795023261e-05
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_reverse_first,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,10.53146701388889,86154.31247010553,6.174933545200193e-05,6.174933545200193e-05
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_reverse_first,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.118706597222221,44432.79622159742,8.44733190319828e-05,8.44733190319828e-05
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.758355034722221,36809.80688009472,0.0001289898383911437,0.0001289898383911437
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.880859375,61104.98314333235,0.00018195730420303695,0.00018195730420303695
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,9.8701171875,56699.89968511456,0.0001117203656296265,0.0001117203656296265
allenai/OLMo-2-1124-7B,main,compositional_reverse_first,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,8.6083984375,10513.46993166798,0.00030301344426330684,0.00030301344426330684
