model,checkpoint,compositional_upper_reverse_first
allenai/OLMo-2-1124-7B,main,7.710336538461538
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.0323016826923075
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.558143028846154
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,8.509314903846153
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.641526442307692
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.673227163461538
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.494891826923077
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.934194711538462
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.206580528846153
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.229867788461538
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.058443509615385
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.99248798076923
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.2255108173076925
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.821213942307692
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.378305288461538
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.530048076923077
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.923527644230769
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.18134014423077
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,8.378305288461538
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.646334134615385
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.268930288461538
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.814903846153846
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.122445913461538
