model,checkpoint,textfrct_V1
allenai/OLMo-2-1124-7B,main,3.5751953125
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.478190104166667
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,6.799696180555555
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,6.517035590277778
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.245551215277778
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.178493923611111
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.020399305555555
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,4.328667534722222
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,6.295681423611111
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,4.491644965277778
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,5.024468315972222
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,11.589192708333334
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,6.4462890625
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,10.60546875
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.21506076388889
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.03493923611111
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,5.942708333333333
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,6.153645833333333
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.48556857638889
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,4.982503255208333
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.484809027777778
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.424858940972222
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.212565104166667
