model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_reverse_first,correct_gerund_reverse_first,total_gerund_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_gerund_reverse_first,True,,False,0.0,0,178,0.0,0,178,8.23169768258427,4066.876788009025,0.00028985399298908757,0.00028985399298908757
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,8.7827422752809,7761.74584854607,0.00018174424888330035,0.00018174424888330035
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,6.151334269662922,540.9939596495791,0.0024277455169088645,0.0024277455169088645
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.426373771067416,1937.1483998108117,0.0006913879198799008,0.0006913879198799008
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,5.985362535112359,462.55238630515515,0.002949791951426404,0.002949791951426404
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.279626053370786,1701.2074988691595,0.0008084559605904932,0.0008084559605904932
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,6.811819698033708,1082.8779302761961,0.0013204294061090385,0.0013204294061090385
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.164940308988764,1527.4345403658228,0.000900991405348121,0.000900991405348121
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.296326369382022,1678.618448930791,0.0007623617858079805,0.0007623617858079805
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.064431179775281,1320.2819444270533,0.000960718864834163,0.000960718864834163
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.539874473314606,2189.0625688782466,0.0006129845167652968,0.0006129845167652968
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.283268960674158,1641.434316504279,0.0007652146690778829,0.0007652146690778829
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.29564606741573,1645.2957544241694,0.0007654948730356927,0.0007654948730356927
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,6.27857268258427,571.1188120778187,0.0020167799610485084,0.0020167799610485084
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,6.418188202247191,701.7805350715108,0.0018956771763862109,0.0018956771763862109
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,6.749539150280899,992.9730266864552,0.00133452881453025,0.00133452881453025
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.703520014044944,2547.9759477722973,0.000514741081144574,0.000514741081144574
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.651992626404494,2306.8782637204126,0.0005166664364016967,0.0005166664364016967
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.280196629213483,1678.9291661057007,0.0007850078638880813,0.0007850078638880813
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,6.248507724719101,610.1507289336882,0.002242944499811997,0.002242944499811997
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.676812675561798,2471.351236278669,0.000524425884214625,0.000524425884214625
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,5.775237008426966,343.8799463943194,0.003305967841605329,0.003305967841605329
allenai/OLMo-2-1124-7B,main,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.04858672752809,1286.470218084143,0.0009573265092301547,0.0009573265092301547
