model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_singular_to_plural,correct_singular_to_plural,total_singular_to_plural,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,simple_icl_singular_to_plural,True,,False,0.0,0,165,0.0,0,165,11.279403409090909,327484.2020976695,1.7971292476972276e-06,3.369529661830825e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,simple_icl_singular_to_plural,True,,False,0.896969696969697,148,165,0.896969696969697,148,165,4.954509943181818,736.4698924289863,0.0011866410452486824,0.017495368002023812
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,simple_icl_singular_to_plural,True,,False,0.8909090909090909,147,165,0.8909090909090909,147,165,4.623869554924243,607.1552377189151,0.0013615448482963426,0.026377376637912935
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,simple_icl_singular_to_plural,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.065743371212121,1111.5744757515617,0.0008424139847463558,0.017179954342414205
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,simple_icl_singular_to_plural,True,,False,0.9272727272727272,153,165,0.9272727272727272,153,165,4.833960700757576,770.1504042190393,0.0007639576082876655,0.019427456604370483
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,simple_icl_singular_to_plural,True,,False,0.9575757575757575,158,165,0.9575757575757575,158,165,5.360203598484849,1714.0476786410322,0.00083834538326733,0.01440055692144879
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,simple_icl_singular_to_plural,True,,False,0.9515151515151515,157,165,0.9515151515151515,157,165,5.115465198863636,990.4829961071329,0.000509649377169286,0.017420837134135635
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,simple_icl_singular_to_plural,True,,False,0.9757575757575757,161,165,0.9757575757575757,161,165,5.0790482954545455,860.4410323502949,0.000644496372498381,0.015431092144474249
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,simple_icl_singular_to_plural,True,,False,0.9575757575757575,158,165,0.9575757575757575,158,165,5.479640151515151,2088.949024095695,0.00027407370606787117,0.012800092304589837
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,simple_icl_singular_to_plural,True,,False,0.9515151515151515,157,165,0.9515151515151515,157,165,5.112322443181818,895.0951400874586,0.0004882318756511314,0.016382228229714742
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,simple_icl_singular_to_plural,True,,False,0.9818181818181818,162,165,0.9818181818181818,162,165,5.221010890151515,1510.2529132044947,0.00041859821113824107,0.016090433755690366
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,simple_icl_singular_to_plural,True,,False,0.9757575757575757,161,165,0.9757575757575757,161,165,5.397679924242424,2385.1779116259763,0.00035966566757056,0.013509590783224421
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,simple_icl_singular_to_plural,True,,False,0.9636363636363636,159,165,0.9636363636363636,159,165,5.229474431818182,1065.3994560647639,0.0003469710362404041,0.015488231295540757
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,simple_icl_singular_to_plural,True,,False,0.9696969696969697,160,165,0.9696969696969697,160,165,5.145643939393939,912.9395259955136,0.0004969748270413345,0.01528613270342087
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,simple_icl_singular_to_plural,True,,False,0.9757575757575757,161,165,0.9757575757575757,161,165,4.355368134469697,297.4192767757174,0.0014789897993923863,0.029013910028813688
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,simple_icl_singular_to_plural,True,,False,0.9636363636363636,159,165,0.9636363636363636,159,165,4.85700165719697,751.4540174055528,0.0006400462050504805,0.01976332610583966
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,simple_icl_singular_to_plural,True,,False,0.9757575757575757,161,165,0.9757575757575757,161,165,5.592341382575758,1551.645098891215,0.00020077107258870632,0.011047005566012062
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,simple_icl_singular_to_plural,True,,False,0.9757575757575757,161,165,0.9757575757575757,161,165,4.9847478693181815,1006.9055001092455,0.0005533231856946293,0.01860219878574518
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,simple_icl_singular_to_plural,True,,False,0.9696969696969697,160,165,0.9696969696969697,160,165,5.068596117424242,965.6472700042126,0.0006105789171312942,0.01892617104030451
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,simple_icl_singular_to_plural,True,,False,0.9575757575757575,158,165,0.9575757575757575,158,165,5.3125,1304.6204337654428,0.00043565262035422195,0.014350397356823922
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,simple_icl_singular_to_plural,True,,False,0.9454545454545454,156,165,0.9454545454545454,156,165,5.415222537878788,1465.1313911785803,0.0002724381631488162,0.013045352489167363
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,simple_icl_singular_to_plural,True,,False,0.9515151515151515,157,165,0.9515151515151515,157,165,5.072443181818182,991.8699712254319,0.00043549695143138567,0.016968713622964402
allenai/OLMo-2-1124-7B,main,simple_icl_singular_to_plural,True,,False,0.9757575757575757,161,165,0.9757575757575757,161,165,4.261150568181818,310.9081041822774,0.0017407831394055725,0.032290208456718775
