model,checkpoint,textfrct_RL4
allenai/OLMo-2-1124-7B,main,12.005208333333334
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,9.6650390625
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,11.249348958333334
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,10.712890625
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,10.427083333333334
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.472981770833333
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,9.715983072916666
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,11.203450520833334
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,11.21484375
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,9.55810546875
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,11.694010416666666
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.388509114583334
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,10.741536458333334
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.99609375
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,10.355794270833334
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,10.7607421875
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,10.368815104166666
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.128092447916666
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.786458333333334
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,10.3271484375
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,10.810546875
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,10.921223958333334
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,11.048828125
