model,checkpoint,compositional_gerund_reverse_first
allenai/OLMo-2-1124-7B,main,7.04858672752809
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,6.151334269662922
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,6.749539150280899
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.703520014044944
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.651992626404494
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.23169768258427
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,7.426373771067416
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,7.280196629213483
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,6.248507724719101
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,5.985362535112359
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.676812675561798
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,7.279626053370786
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,5.775237008426966
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,6.811819698033708
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.164940308988764
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,7.296326369382022
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.064431179775281
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.7827422752809
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.539874473314606
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.283268960674158
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.29564606741573
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.27857268258427
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.418188202247191
