model,checkpoint,compositional_lower_first
allenai/OLMo-2-1124-7B,main,7.399305555555555
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.498697916666667
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.107855902777779
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,8.864908854166666
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.551323784722221
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.272786458333334
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.919487847222221
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.175238715277779
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.048828125
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.885308159722222
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.269097222222221
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.357747395833334
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,8.020399305555555
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.122395833333334
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.45041232638889
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.941297743055555
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,8.26052517361111
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.655598958333334
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,8.196940104166666
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.862196180555555
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.912326388888889
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.879014756944445
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.918619791666667
