model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_reverse_first,correct_lower_reverse_first,total_lower_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_lower_reverse_first,True,,False,0.0,0,26,0.0,0,26,8.379356971153847,6234.32636261276,0.00033893469375659,0.00033893469375659
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.302884615384615,7499.5693077874175,0.00046551412184172626,0.00046551412184172626
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.191105769230769,2097.5323502541924,0.0013109010939147427,0.0013109010939147427
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.609825721153847,9101.930655860971,0.0004183739359576728,0.0004183739359576728
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.992788461538462,4339.890131791046,0.0005212813824401546,0.0005212813824401546
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,9.041616586538462,12874.40846138625,0.0001774813075520174,0.0001774813075520174
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.239483173076923,7318.337735260773,0.00047237307372399804,0.00047237307372399804
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.602163461538462,6899.463992194088,0.00023384054022881743,0.00023384054022881743
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,9.738882211538462,23458.557639115137,8.157050827080773e-05,8.157050827080773e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.834284855769231,3742.1171308873995,0.000605286120542686,0.000605286120542686
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,9.075270432692308,12124.486513537491,0.00014815728213435732,0.00014815728213435732
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,9.337890625,15158.064083482952,0.00011740642649298473,0.00011740642649298473
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.396334134615385,6648.516408038072,0.0003277921376672945,0.0003277921376672945
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.671274038461538,7971.275233764628,0.00027095432437853375,0.00027095432437853375
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.063100961538462,4229.352977334276,0.0005341816509939013,0.0005341816509939013
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.909405048076923,3578.2316741013688,0.0005301633632820091,0.0005301633632820091
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,9.180889423076923,14638.24025022537,0.00015373411724312096,0.00015373411724312096
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.84765625,10239.53255608872,0.00019645271107819351,0.00019645271107819351
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.587139423076923,7274.980952455445,0.00023704404886490166,0.00023704404886490166
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.481069711538462,6492.0335872170745,0.0002734128249583416,0.0002734128249583416
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.021033653846153,4213.171990380913,0.0005162442413505308,0.0005162442413505308
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.382361778846154,2120.8050888976713,0.0008025934856756294,0.0008025934856756294
allenai/OLMo-2-1124-7B,main,compositional_lower_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.5264423076923075,2274.1025386691113,0.0006453860924482107,0.0006453860924482107
