model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_two_step,accuracy_three_step,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,multistep_arithmetic,True,,False,0.1,4,40,0.1,0.1,6.306103515625,1275.721353051945,0.005121258607702671,0.005121258607702671
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,10.9875,127668.6515913581,2.5808388003525147e-05,2.5808388003525147e-05
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,multistep_arithmetic,True,,False,0.075,3,40,0.05,0.1,11.5748046875,139636.00432481512,1.1877862387616625e-05,1.1877862387616625e-05
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,multistep_arithmetic,True,,False,0.125,5,40,0.15,0.1,11.1966796875,178080.7567238695,2.153186172063641e-05,2.153186172063641e-05
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,multistep_arithmetic,True,,False,0.1,4,40,0.1,0.1,11.0162109375,82103.50313152542,2.1853079313621564e-05,2.1853079313621564e-05
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,multistep_arithmetic,True,,False,0.1,4,40,0.1,0.1,11.8849609375,246403.62940105205,1.0861996260561002e-05,1.0861996260561002e-05
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,11.1986328125,109537.5278791204,1.9403679236007876e-05,1.9403679236007876e-05
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,multistep_arithmetic,True,,False,0.05,2,40,0.0,0.1,11.0015625,100455.26024825455,2.3987829913795048e-05,2.3987829913795048e-05
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,multistep_arithmetic,True,,False,0.125,5,40,0.2,0.05,12.273828125,363959.3535105128,6.974638640466118e-06,6.974638640466118e-06
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,multistep_arithmetic,True,,False,0.125,5,40,0.25,0.0,11.7525390625,221830.8385735367,1.2564101789321635e-05,1.2564101789321635e-05
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,multistep_arithmetic,True,,False,0.05,2,40,0.1,0.0,11.6763671875,207190.97220523722,1.471541740961436e-05,1.471541740961436e-05
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,multistep_arithmetic,True,,False,0.05,2,40,0.1,0.0,11.5255859375,207405.57802908513,1.4533514209628292e-05,1.4533514209628292e-05
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,multistep_arithmetic,True,,False,0.075,3,40,0.1,0.05,12.0921875,293199.9472822548,8.394816883578804e-06,8.394816883578804e-06
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,multistep_arithmetic,True,,False,0.075,3,40,0.1,0.05,12.37421875,337639.028525821,6.2789800777586425e-06,6.2789800777586425e-06
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,multistep_arithmetic,True,,False,0.1,4,40,0.2,0.0,11.4580078125,145382.78688261023,1.7585561144228308e-05,1.7585561144228308e-05
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,multistep_arithmetic,True,,False,0.125,5,40,0.15,0.1,12.0951171875,308379.69478076015,8.93086563202151e-06,8.93086563202151e-06
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,multistep_arithmetic,True,,False,0.075,3,40,0.15,0.0,11.4794921875,168947.86665951117,1.6376899508404055e-05,1.6376899508404055e-05
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,11.2486328125,132524.85974762583,2.161164739105991e-05,2.161164739105991e-05
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,11.0185546875,82456.1244843559,2.2926542764401142e-05,2.2926542764401142e-05
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,multistep_arithmetic,True,,False,0.1,4,40,0.15,0.05,11.2298828125,113609.07700396559,2.0033822616312548e-05,2.0033822616312548e-05
allenai/OLMo-2-1124-7B,main,multistep_arithmetic,True,,False,0.375,15,40,0.4,0.35,14.61484375,11063347.742331373,1.7437342658958746e-06,1.7437342658958746e-06
