model,checkpoint,logical_ops
allenai/OLMo-2-1124-7B,main,3.779455312093099
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,3.841963195800781
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,9.985546875
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,3.948317209879557
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,3.7615267435709634
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,3.9186965942382814
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,3.973951212565104
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,3.7637181599934895
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,3.885480499267578
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,3.9025357564290366
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,4.027269999186198
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,3.6635242462158204
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,3.819635009765625
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,3.836161804199219
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,3.893022155761719
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,3.8002396901448567
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,3.82847417195638
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,3.7524117787679034
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,3.7317181905110677
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,3.7480077107747394
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,3.534582773844401
