model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_extract_entity,accuracy_extract_number,accuracy_extract_location,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,fact_extraction,True,,False,0.0,0,60,0.0,0.0,0.0,9.75703125,119706.6477517203,0.0007315694298344375,0.0008076762555151005
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,fact_extraction,True,,False,0.8666666666666667,52,60,1.0,1.0,0.6,4.696294212341309,981.7049334524357,0.09479425955901002,0.12335289389631122
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,fact_extraction,True,,False,0.7666666666666667,46,60,0.95,1.0,0.35,5.372299007574717,3145.5269826183962,0.09400585320965713,0.11775439845348204
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,fact_extraction,True,,False,0.7166666666666667,43,60,0.9,1.0,0.25,5.358630981047948,3281.417954743214,0.0961649126943919,0.1213732834317784
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,fact_extraction,True,,False,0.7333333333333333,44,60,0.95,1.0,0.25,5.224205740292867,2342.7857080218323,0.09620516622365664,0.12159671283072689
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,fact_extraction,True,,False,0.8166666666666667,49,60,0.9,1.0,0.55,5.042191604773204,2240.43438970168,0.09619343016724152,0.1260525349689067
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,fact_extraction,True,,False,0.7833333333333333,47,60,0.95,1.0,0.4,5.310062901178996,2639.8967715817585,0.08868632765328195,0.11337494664252078
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,fact_extraction,True,,False,0.75,45,60,0.9,1.0,0.35,5.05586773554484,1916.872915250904,0.0934250201496421,0.12372028008096007
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,fact_extraction,True,,False,0.8666666666666667,52,60,0.95,1.0,0.65,5.318776136636734,3213.312855295405,0.09399304438297869,0.1203244633891241
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,fact_extraction,True,,False,0.85,51,60,0.95,1.0,0.6,5.279350278774897,3138.359853199815,0.09781542714338665,0.1228459188995319
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,fact_extraction,True,,False,0.7166666666666667,43,60,0.9,1.0,0.25,5.352552652359009,3184.6205222147496,0.09747196482187616,0.12072897563472647
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,fact_extraction,True,,False,0.9,54,60,0.9,1.0,0.8,5.089614780743917,1949.5254419414737,0.09701422840182133,0.12066501945269682
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,fact_extraction,True,,False,0.8666666666666667,52,60,0.9,1.0,0.7,4.704853661855062,905.705691896283,0.09813579402638849,0.12549615054216007
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,fact_extraction,True,,False,0.7666666666666667,46,60,0.9,1.0,0.4,5.174594148000081,2420.144533180854,0.09683230506426468,0.12259422793698556
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,fact_extraction,True,,False,0.8666666666666667,52,60,0.95,1.0,0.65,5.186026954650879,2083.5994430393057,0.09644739529006448,0.12091414935751862
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,fact_extraction,True,,False,0.8166666666666667,49,60,0.9,1.0,0.55,5.024943335851034,1569.9189063529657,0.09440003382773429,0.1208554494746437
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,fact_extraction,True,,False,0.7666666666666667,46,60,0.9,1.0,0.4,5.059401837984721,1582.991817348327,0.09577850660732566,0.1205274795277011
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,fact_extraction,True,,False,0.7833333333333333,47,60,0.85,1.0,0.5,5.112763055165609,1757.0714093679494,0.0968615795214016,0.11834801829259847
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,fact_extraction,True,,False,0.7333333333333333,44,60,0.85,1.0,0.35,4.862180773417155,1108.5371888761508,0.09776513822284709,0.12215461987173029
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,fact_extraction,True,,False,0.75,45,60,0.9,1.0,0.35,5.047307022412618,1611.5769764039862,0.0962128852687695,0.12063759908780702
allenai/OLMo-2-1124-7B,main,fact_extraction,True,,False,0.8666666666666667,52,60,1.0,1.0,0.6,6.163896385828654,16801.132545689274,0.09708534130826411,0.11343665067444109
