model,checkpoint,compositional_lower_reverse_first
allenai/OLMo-2-1124-7B,main,7.5264423076923075
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.191105769230769
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.909405048076923
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.180889423076923
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.84765625
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.379356971153847
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.609825721153847
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.587139423076923
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.481069711538462
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.992788461538462
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.021033653846153
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.041616586538462
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.382361778846154
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.239483173076923
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.602163461538462
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.738882211538462
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.834284855769231
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.302884615384615
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.075270432692308
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,9.337890625
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.396334134615385
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,8.671274038461538
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,8.063100961538462
