model,checkpoint,compositional_lower_reverse_last
allenai/OLMo-2-1124-7B,main,7.591496394230769
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.3046875
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.958984375
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.11493389423077
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.729567307692308
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.309194711538462
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.566856971153847
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.681039663461538
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.437049278846153
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.9151141826923075
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.068509615384615
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.963341346153847
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.150090144230769
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.358924278846153
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.59765625
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.767427884615385
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.951171875
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.155348557692308
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.092397836538462
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,9.271634615384615
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.417818509615385
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,8.629807692307692
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.923377403846154
