model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_negation,accuracy_conjunction,accuracy_conditional,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,logical_ops,True,,False,0.0,0,60,0.0,0.0,0.0,9.985546875,62586.990935488975,3.89957865096194e-05,0.0001712617666278549
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,logical_ops,True,,False,0.9,54,60,1.0,0.75,0.95,3.6635242462158204,2394.4543217362007,0.32025559714364077,0.37885435177905047
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.95,0.95,3.841963195800781,3568.106615215412,0.30331448233140634,0.3639015279248994
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,3.948317209879557,4442.655648824249,0.3132224322947617,0.3680006680335715
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,logical_ops,True,,False,0.9,54,60,1.0,0.75,0.95,3.7615267435709634,3035.9341269788247,0.3210844325527811,0.37389915318881317
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,logical_ops,True,,False,0.9166666666666666,55,60,1.0,0.8,0.95,3.9186965942382814,4484.120322624065,0.29082723518582676,0.34836811365426823
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,3.973951212565104,4628.021040072057,0.26909149357328027,0.32170053035782636
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,logical_ops,True,,False,0.95,57,60,1.0,0.85,1.0,3.7637181599934895,2668.171428798701,0.2922598388837084,0.34488461256487307
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,3.885480499267578,3829.6548187705907,0.31760671479718855,0.37198682204165645
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,3.9025357564290366,4667.431031670275,0.32294903652037676,0.37824029488139643
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,4.027269999186198,5596.525296039893,0.28638479111878984,0.3400056549268026
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,logical_ops,True,,False,0.9666666666666667,58,60,1.0,1.0,0.9,3.819635009765625,4304.519078761335,0.32326548043696207,0.38526992999740717
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,logical_ops,True,,False,0.95,57,60,1.0,0.85,1.0,3.836161804199219,4390.016473402625,0.3152662494662923,0.3802616769378506
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,3.893022155761719,4370.373751604397,0.311462627223492,0.3722083492211217
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,3.8002396901448567,2903.311037294744,0.30914861358145085,0.36531367571709517
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,3.82847417195638,4052.1751464378253,0.32558114145845746,0.3846677138646473
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,3.7524117787679034,3452.2810984102116,0.32392421241807645,0.3791331674689347
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,3.7317181905110677,2671.90120849135,0.32264787229486364,0.37669865622405113
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,3.7480077107747394,3040.803980393104,0.3160718353177848,0.3706858782620966
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,logical_ops,True,,False,0.9833333333333333,59,60,1.0,0.95,1.0,3.534582773844401,2040.286767403934,0.32145419787409507,0.3736063876917897
allenai/OLMo-2-1124-7B,main,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.95,0.95,3.779455312093099,7485.964260267099,0.41635115598061084,0.47489345837999225
