model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_last,correct_plural_last,total_plural_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_plural_last,True,,False,0.0,0,165,0.0,0,165,6.557741477272727,991.5528251433087,0.0016672110779116667,0.0016672110779116667
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_plural_last,True,,False,0.8545454545454545,141,165,0.8545454545454545,141,165,8.347443181818182,23629.00986999604,0.0003788410361682592,0.0003788410361682592
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_plural_last,True,,False,0.8666666666666667,143,165,0.8666666666666667,143,165,8.000568181818181,87032.97193203663,0.0006419621626241258,0.0006419621626241258
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_plural_last,True,,False,0.8545454545454545,141,165,0.8545454545454545,141,165,8.37817234848485,125783.03234316847,0.0004901070887249594,0.0004901070887249594
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_plural_last,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,6.969105113636363,32132.220154443727,0.002107677451717879,0.002107677451717879
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_plural_last,True,,False,0.806060606060606,133,165,0.806060606060606,133,165,8.475236742424242,87663.31001946692,0.0004100811281669772,0.0004100811281669772
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_plural_last,True,,False,0.8424242424242424,139,165,0.8424242424242424,139,165,7.997466856060606,204052.56492108296,0.0007266119813483769,0.0007266119813483769
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_plural_last,True,,False,0.793939393939394,131,165,0.793939393939394,131,165,7.587689393939394,50751.5247330929,0.00128701859663655,0.00128701859663655
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_plural_last,True,,False,0.7757575757575758,128,165,0.7757575757575758,128,165,8.323982007575758,45367.3766188592,0.0005564717354160642,0.0005564717354160642
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_plural_last,True,,False,0.793939393939394,131,165,0.793939393939394,131,165,6.799337121212122,14560.61463958134,0.002365224579226011,0.002365224579226011
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_plural_last,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,8.374763257575758,25093.886453228773,0.0004290511755984267,0.0004290511755984267
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_plural_last,True,,False,0.8121212121212121,134,165,0.8121212121212121,134,165,8.281202651515152,41047.536423913014,0.0005224198107158846,0.0005224198107158846
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_plural_last,True,,False,0.8606060606060606,142,165,0.8606060606060606,142,165,8.450071022727272,40625.365901605306,0.0004308563700990218,0.0004308563700990218
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_plural_last,True,,False,0.8424242424242424,139,165,0.8424242424242424,139,165,7.649621212121212,13096.040746526236,0.000848689718802349,0.000848689718802349
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_plural_last,True,,False,0.8484848484848485,140,165,0.8484848484848485,140,165,6.703101325757576,47799.60240522886,0.002379628110308571,0.002379628110308571
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_plural_last,True,,False,0.8,132,165,0.8,132,165,8.139086174242424,19659.189530408694,0.0006022758942804384,0.0006022758942804384
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_plural_last,True,,False,0.7515151515151515,124,165,0.7515151515151515,124,165,9.162002840909091,56108.60944563146,0.00024148861422280892,0.00024148861422280892
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_plural_last,True,,False,0.8,132,165,0.8,132,165,7.77125946969697,30456.84872903839,0.0009657787919855848,0.0009657787919855848
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_plural_last,True,,False,0.8242424242424242,136,165,0.8242424242424242,136,165,8.528716856060607,43853.561384574954,0.0004529593094982578,0.0004529593094982578
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_plural_last,True,,False,0.7515151515151515,124,165,0.7515151515151515,124,165,7.997372159090909,27394.546848331567,0.0007093136109821822,0.0007093136109821822
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_plural_last,True,,False,0.7454545454545455,123,165,0.7454545454545455,123,165,8.497514204545455,38428.152125894696,0.00038806365268107066,0.00038806365268107066
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_plural_last,True,,False,0.8787878787878788,145,165,0.8787878787878788,145,165,7.3522727272727275,8169.972739386974,0.001065261749648393,0.001065261749648393
allenai/OLMo-2-1124-7B,main,compositional_plural_last,True,,False,0.703030303030303,116,165,0.703030303030303,116,165,6.553125,2326.7342217080723,0.0024031956030280896,0.0024031956030280896
