model,checkpoint,compositional_gerund_reverse
allenai/OLMo-2-1124-7B,main,5.106467257724719
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,6.650291871488764
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,5.997037394662922
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,6.201555916432584
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,6.235527124297753
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.74754213483146
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,6.305334884129214
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,6.01927887991573
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,5.695411253511236
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,6.535671962780899
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,6.070158883426966
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,6.510072858146067
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,6.02027738764045
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,6.254378072331461
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,6.386290818117978
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,6.302196716994382
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,6.199997805477528
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,7.399425035112359
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,6.204913535814606
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,6.380069346910112
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,6.326544943820225
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,5.818743416432584
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.198022735252809
